MSW Materials Recovered for Recycling (tons)	Wood Waste	0	0	1320	18485	23956	30181	77116	93318	192056	223828	265887	115289.29078292847	142786.589993477	215211.3	538242.32	394261.28	208920.22	257495	351855.3090584278	289611.59192636795	228145.66200000004	381865.6922	200979.78	347137.46	178403.44	244907.19	167002.3	200658.2
MSW Materials Recovered for Recycling (tons)	Yard Debris	0	0	64090	96550	144511	157673	320821	319232	295915	337534	384848	608127.7410812378	525454.0731570423	450761.4	448221.53	380882.21	546487.23	646674	643375.9210100174	665902.0178191923	684180.8099999998	641130.0599999999	689848.6399999999	537442.2108	608946.57	656841.14	616799.86	556102.39
MSW Materials Recovered for Recycling (tons)	Yard Debris and Food (mixed)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285964.62	209363.64	261221.28	216407.06	239787.59
MSW Materials Recovered for Recycling (tons)	Total Materials Recovered for Recycling (MSW)	449886.8	1435431	1521131	1889469	1868719	2150735	2431787	2492696	2567869	2462608	2151262	2165769.9462265065	2166605.6756073935	2462771.51	2703772.29	2512787.53	2998427.770000001	3531753	3916871.5736691663	4020547.9531613966	4000732.9744531	4061093.7562000006	3772509.1899999995	4312580.553100001	4499073.47	4410954.702	4219306.239999998	4038720.8000000003
MSW Materials Recovered for Recycling (tons)	Total MSW Disposed	2510384	3687769	4053194	3726339	3839623	3945287	4041168	4106228	3968241	3800114	4203507	4276276	4480761	4610914.3	4611406	4703879	4805202	4917870	5060502	5258076	5309296	4978496.25	4613329.33	4548275.1	4377843.12	4396880.39	4486592.41	4590290
MSW Materials Recovered for Recycling (tons)	Total MSW Generated	2960270.8	5123200	5574325	5615808	5708342	6096022	6472955	6598924	6536110	6262722	6354769	6442045.9462265065	6647366.6756073935	7073685.81	7315178.29	7216666.529999999	7803629.770000001	8449623	8977373.573669165	9278623.953161396	9310028.9744531	9039590.0062	8385838.52	8860855.6531	8876916.59	8807835.092	8705898.649999999	8629010.8
MSW Materials Recovered for Recycling (tons)	Recycling Rate (MSW)	0.15197488013596594	0.2801825031230481	0.2728816493476789	0.33645541300557286	0.3273663350934474	0.35280958631710974	0.3756842122338252	0.37774279564365343	0.392874201933566	0.3932168791780954	0.33852717541739125	0.33619287479548765	0.3259344310819777	0.3481595841475464	0.36961126343237766	0.34819227403043107	0.3842350109338927	0.4179775831418751	0.4363048436747065	0.4333129538881164	0.4297229348513511	0.4492564102370363	0.4498666628271778	0.48670023775765153	0.5068284042533737	0.5007989654581966	0.48464913383755037	0.468039836037753
Other Materials Recovered (tons):	Agricultural Organics													0	0	0	0	0	0	0	0	0	31800	45431.29	55688.55	76644.67	102732.5	97270.41	66660.4
Other Materials Recovered (tons)	Anti-freeze													1329	2475	4157.13	4505.65	4721.58	8050	8767.426422908902	7506.510008526966	7055.1	6586.01	5193.98	4782.749499999999	4871.69	6797.07	4803.5	4954.58
Other Materials Recovered (tons)	Ash, Sand & Dust used in Asphalt Production													0	10000	12333	290	10576.2	40409	14587.779910087585	4008.260009765625	2520.99	0	344	20364	0	0	0	0
Other Materials Recovered (tons)	Asphalt/Concrete													49136	893218	1116870.96	1451958.69	1600288.21	2002171	1783418.3775436878	2295277.690291945	2089972.4152999993	1510051.15	2186429.15	2188200.055	2211888.54	1887580.274	2196139.23	2389936.48
Other Materials Recovered (tons)	Carpet & Pad													18	97.1	819.54	148.49	257.58	304	186.0300054848194	896.5900046881288	1193.3777000000002	3297.03	3316.69	3867.29	3652.55	2420.31	4340.61	7461.42
Other Materials Recovered (tons)	Construction & Demolition Debris													145605	376683.5	131921.78	131700.57	143844.31	166325	521086.70803022385	300819.731704939	302089.27000000014	339066.4900000001	302835.87	269602.6	271715.65	399208.632	343522.92	233607.65
Other Materials Recovered (tons)	Container Glass (used as aggregate)																								3212	19966.31	20116.412	123.46	11892.69
Other Materials Recovered (tons)	Food Processing Waste (pre-consumer)													1563	0	0	0	3774	3185	38822.77017211905	25369.360247612	0	3494.45	14027.31	27762.4	59220.08	102035.09	126074.4	150496.1
Other Materials Recovered (tons)	Food (recovered)																								402	429.08	3683.89	6631.87	804.3
