OBJECTID	SHAPE_LATITUDE	SHAPE_LONGITUDE	SHAPE_LOCATION	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	SHAPE_LENGTH	SHAPE_AREA
50	47.671151433000034	-122.35438993199995	(47.671151433000034, -122.35438993199995)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1805	4387.68	960753.02
51	47.67076511400006	-122.32187386899994	(47.67076511400006, -122.32187386899994)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5805	4062.62	896211.31
52	47.67088988800003	-122.36617381899998	(47.67088988800003, -122.36617381899998)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1806	4816.42	1273831.72
53	47.66938159000006	-122.33050923099995	(47.66938159000006, -122.33050923099995)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5807	3815.93	770661.22
54	47.668650641000056	-122.36220415699995	(47.668650641000056, -122.36220415699995)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1803	7046.51	2050736.70
55	47.66500909800004	-122.34731122699998	(47.66500909800004, -122.34731122699998)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1804	4210.99	1008176.50
56	47.66503444500006	-122.34020752699996	(47.66503444500006, -122.34020752699996)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5809	4398.59	1163229.48
57	47.66500265900004	-122.32826780899995	(47.66500265900004, -122.32826780899995)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5808	4360.47	953873.57
58	47.661329015000035	-122.32228554299996	(47.661329015000035, -122.32228554299996)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5810	4281.13	896155.89
59	47.65918324300003	-122.34225647399995	(47.65918324300003, -122.34225647399995)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5812	7595.17	2019593.01
60	47.659152204000065	-122.33620820399994	(47.659152204000065, -122.33620820399994)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5811	5654.07	978607.50
61	47.655512531000056	-122.32237869399995	(47.655512531000056, -122.32237869399995)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5813	5338.21	915642.71
62	47.59417261500005	-122.38353247599997	(47.59417261500005, -122.38353247599997)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1837	11130.25	3577019.53
63	47.59417261500005	-122.38353247599997	(47.59417261500005, -122.38353247599997)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1831	13029.80	2284412.92
64	47.581195336000064	-122.38654570399996	(47.581195336000064, -122.38654570399996)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1836	5670.65	1248488.10
65	47.58270369600007	-122.40207367599999	(47.58270369600007, -122.40207367599999)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1834	8631.93	2959588.36
66	47.58589853800004	-122.28915288499996	(47.58589853800004, -122.28915288499996)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4830	5364.85	1406453.86
67	47.58652986200008	-122.37864492999995	(47.58652986200008, -122.37864492999995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1830	8113.15	1820411.89
68	47.584536273000026	-122.31811904499995	(47.584536273000026, -122.31811904499995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3833	8513.27	1559875.13
69	47.58690987500006	-122.30468324299994	(47.58690987500006, -122.30468324299994)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4821	5725.94	1320957.08
70	47.585705191000045	-122.28405252999994	(47.585705191000045, -122.28405252999994)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4831	7509.96	1976062.61
71	47.581195336000064	-122.38654570399996	(47.581195336000064, -122.38654570399996)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1835	5116.17	1243547.56
72	47.58099444800007	-122.30016671299995	(47.58099444800007, -122.30016671299995)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4822	4961.67	1241640.62
73	47.57947122100006	-122.31237671899999	(47.57947122100006, -122.31237671899999)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4823	5691.57	971552.58
74	47.57580316600007	-122.40274458999994	(47.57580316600007, -122.40274458999994)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1833	4919.62	1052749.96
75	47.57562625200006	-122.38676048099995	(47.57562625200006, -122.38676048099995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1832	6970.67	1681010.24
76	47.577373641000065	-122.28060344799997	(47.577373641000065, -122.28060344799997)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4832	5987.68	1552626.82
77	47.57505799000006	-122.37598614199999	(47.57505799000006, -122.37598614199999)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1829	4781.96	934623.76
78	47.57177514300008	-122.37180106699998	(47.57177514300008, -122.37180106699998)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1828	5072.75	955656.50
79	47.57587274300005	-122.29624333699996	(47.57587274300005, -122.29624333699996)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4824	9965.04	4249594.87
80	47.572231368000075	-122.41370125899999	(47.572231368000075, -122.41370125899999)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1824	17850.45	4769750.67
81	47.57201585300004	-122.38676521199994	(47.57201585300004, -122.38676521199994)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1826	4787.12	1162404.97
82	47.57290385400006	-122.27834490499998	(47.57290385400006, -122.27834490499998)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4834	7464.00	2378649.25
