•ÈÀOBJECTID	Shape	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	Shape_Length	Shape_Area
69	"(47.58690987500006, -122.30468324299994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4821	"5,725.94"	"1,320,957.08"
70	"(47.585705191000045, -122.28405252999994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4831	"7,509.96"	"1,976,062.61"
71	"(47.581195336000064, -122.38654570399996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1835	"5,116.17"	"1,243,547.56"
72	"(47.58099444800007, -122.30016671299995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4822	"4,961.67"	"1,241,640.62"
73	"(47.57947122100006, -122.31237671899999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4823	"5,691.57"	"971,552.58"
74	"(47.57580316600007, -122.40274458999994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1833	"4,919.62"	"1,052,749.96"
75	"(47.57562625200006, -122.38676048099995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1832	"6,970.67"	"1,681,010.24"
76	"(47.577373641000065, -122.28060344799997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4832	"5,987.68"	"1,552,626.82"
77	"(47.57505799000006, -122.37598614199999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1829	"4,781.96"	"934,623.76"
78	"(47.57177514300008, -122.37180106699998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1828	"5,072.75"	"955,656.50"
79	"(47.57587274300005, -122.29624333699996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4824	"9,965.04"	"4,249,594.87"
80	"(47.572231368000075, -122.41370125899999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1824	"17,850.45"	"4,769,750.67"
81	"(47.57201585300004, -122.38676521199994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1826	"4,787.12"	"1,162,404.97"
